experiment,label,target_model,split_mode,tensor_split,spec_family,spec_n_max,spec_p_min,top_k,min_p,temp,ctx_total,batch_b,ubatch_ub,n_predict,prompt_tokens,prefill_tok_s,prefill_ms,gen_tokens,gen_tok_s,gen_ms,acceptance_length_metrics_cumulative,proposed_per_round_metrics_cumulative,token_accept_rate_metrics_cumulative,output_sha256_16hex,vram_after_load_mib,peak_vram_mib,repeat,backend_sampling_on_gpu,wall_s,error
"100k split-mode matrix, n-max 7, 2 repeats",mode-layer3-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,599.19,166205,256,24.99,10204,4.909,6.745,0.5795,0194852ba7ad2825,"[5795, 6607, 8113]","[5989, 6621, 8131]",1,True,178.8,
"100k split-mode matrix, n-max 7, 2 repeats",mode-tensor3-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,302.38,329348,256,24.14,10564,3.333,6.679,0.3494,ece03da53ea89e8d,"[6819, 6667, 6749]","[6975, 6821, 6905]",1,False,342.5,
"100k split-mode matrix, n-max 7, 2 repeats",mode-tensor2-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,506.12,196771,256,43.06,5922,5.0,6.759,0.5918,450af7a0d4fe094d,"[9611, 9603, 4]","[9783, 9775, 4]",2,False,205.1,
"100k split-mode matrix, n-max 7, 2 repeats",mode-layer2-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,489.99,203249,256,26.26,9711,4.909,6.745,0.5795,0194852ba7ad2825,"[8529, 11009, 4]","[8725, 11031, 4]",2,True,215.3,
"100k split-mode matrix, n-max 7, 2 repeats",mode-layer3-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,599.12,166226,256,24.97,10214,4.909,6.745,0.5795,0194852ba7ad2825,"[5795, 6607, 8113]","[5989, 6621, 8131]",2,True,178.7,
"100k split-mode matrix, n-max 7, 2 repeats",mode-tensor3-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,302.09,329664,256,24.17,10551,3.333,6.679,0.3494,ece03da53ea89e8d,"[6819, 6667, 6749]","[6975, 6821, 6905]",2,False,342.9,
"3-card matrix (layer/tensor, -ts balances)",g3-layer-ts111-mtp7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,602.76,165223,256,24.96,10217,4.909,6.745,0.5795,0194852ba7ad2825,"[5795, 6607, 8113]","[5989, 6621, 8131]",,True,177.8,
"3-card matrix (layer/tensor, -ts balances)",g3-layer-ts353728-mtp7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"35,37,28",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,611.29,162916,256,24.93,10229,4.909,6.745,0.5795,0194852ba7ad2825,"[6397, 7021, 7095]","[6591, 7035, 7113]",,True,175.5,
"3-card matrix (layer/tensor, -ts balances)",g3-layer-ts13-13-04-mtp7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1.3,1.3,0.4",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,514.31,193636,256,24.78,10289,4.909,6.745,0.5795,0194852ba7ad2825,"[7585, 8349, 4577]","[7781, 8365, 4591]",,True,206.3,
"3-card matrix (layer/tensor, -ts balances)",g3-layer-ts111-dflash4,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,4,0.0,,,0.5,131072,2048,256,256,99589,606.56,164187,256,23.06,11057,3.14,3.953,0.5412,d5809f6a1e3336e6,"[5941, 6761, 7261]","[6143, 6783, 7303]",,True,178.1,
